,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,Season,avg_temp
12716,70,Sweet potato,2002,7602,1083,Rabi       ,26.63
12717,1828,Urad,2002,7602,1083,Rabi       ,26.06
12718,312,Wheat,2002,7602,1083,Rabi       ,25.58
12719,3050,Paddy,2002,7602,1083,Summer     ,27.15
12720,3050,Rice,2002,7602,1083,Summer     ,25.07
12721,1250,Banana,2002,7602,1083,Whole Year ,27.35
12722,210,Onion,2002,7602,1083,Whole Year ,27.35
12723,4250,Potato,2002,7602,1083,Whole Year ,26.49
12724,370,Sugarcane,2002,7624,1083,Whole Year ,26.66
12725,798,Turmeric,2002,7624,1083,Whole Year ,27.72
12726,86070,Paddy,2002,7624,1083,Winter     ,26.79
12727,86070,Rice,2002,7624,1083,Winter     ,24.91
12728,83560,Rice,2002,7624,1083,Autumn     ,25.76
12729,292,Arhar/Tur,2002,7624,1083,Kharif     ,26.55
12730,10,Castor seed,2002,7624,1083,Kharif     ,26.63
12731,8,Cotton(lint),2002,7624,1083,Kharif     ,26.7
12732,8120,Jute,2002,7624,1083,Kharif     ,27.67
12733,46,Maize,2002,7624,1083,Kharif     ,26.15
12734,100,Mesta,2002,7624,1083,Kharif     ,27.03
12735,3010,Small millets,2002,7624,1083,Kharif     ,26.12
12736,225,Sugarcane,2002,7624,1083,Kharif     ,24.91
12737,255,Gram,2002,7624,1083,Rabi       ,26.75
12738,2600,Linseed,2002,7624,1083,Rabi       ,26.63
12739,12616,Other  Rabi pulses,2002,7624,1083,Rabi       ,26.06
12740,25501,Rapeseed &Mustard,2002,7624,1083,Rabi       ,25.58
12741,12675,Wheat,2002,7624,1083,Rabi       ,27.15
12742,8850,Rice,2002,7624,1083,Summer     ,25.07
12743,7160,Arecanut,2002,7624,1083,Whole Year ,27.35
12744,1122,Coconut ,2002,7624,1083,Whole Year ,27.35
12745,1815,Dry chillies,2002,7624,1083,Whole Year ,26.49
12746,955,Niger seed,2002,85694,1083,Whole Year ,26.66
12747,1245,Onion,2002,85694,1083,Whole Year ,27.72
12748,10610,Potato,2002,85694,1083,Whole Year ,26.79
12749,1420,Sesamum,2002,85694,1083,Whole Year ,24.91
12750,849,Sweet potato,2002,85694,1083,Whole Year ,25.76
12751,42,Tapioca,2002,85694,1083,Whole Year ,26.55
12752,760,Turmeric,2002,85694,1083,Whole Year ,26.63
12753,103015,Rice,2002,85694,1083,Winter     ,26.7
12754,83355,Rice,2002,85694,1083,Autumn     ,27.67
12755,320,Arhar/Tur,2002,85694,1083,Kharif     ,26.15
12756,10,Castor seed,2002,85694,1083,Kharif     ,27.03
12757,8,Cotton(lint),2002,85694,1083,Kharif     ,26.12
12758,8000,Jute,2002,85694,1083,Kharif     ,24.91
12759,49,Maize,2002,85694,1083,Kharif     ,26.75
12760,97,Mesta,2002,85694,1083,Kharif     ,26.63
12761,955,Niger seed,2002,85694,1083,Kharif     ,26.06
12762,1420,Sesamum,2002,85694,1083,Kharif     ,25.58
12763,3010,Small millets,2002,85694,1083,Kharif     ,27.15
12764,255,Gram,2002,85694,1083,Rabi       ,25.07
12765,2600,Linseed,2002,85694,1083,Rabi       ,27.35
12766,17925,Other  Rabi pulses,2002,85694,1083,Rabi       ,27.35
12767,25959,Rapeseed &Mustard,2002,85694,1083,Rabi       ,26.49
12768,13620,Wheat,2002,27621,1083,Rabi       ,26.66
12769,16435,Rice,2002,27621,1083,Summer     ,27.72
12770,7160,Arecanut,2002,27621,1083,Whole Year ,26.79
12771,5130,Banana,2002,27621,1083,Whole Year ,24.91
12772,1122,Coconut ,2002,27621,1083,Whole Year ,25.76
12773,1815,Dry chillies,2002,27621,1083,Whole Year ,26.55
12774,1245,Onion,2002,27621,1083,Whole Year ,26.63
12775,10990,Potato,2002,27621,1083,Whole Year ,26.7
12776,243,Sugarcane,2002,27621,1083,Whole Year ,27.67
12777,849,Sweet potato,2002,27621,1083,Whole Year ,26.15
12778,42,Tapioca,2002,27621,1083,Whole Year ,27.03
12779,47,Tobacco,2002,27621,1083,Whole Year ,26.12
12780,760,Turmeric,2002,27621,1083,Whole Year ,24.91
12781,88835,Rice,2002,27621,1083,Winter     ,26.75
12782,83830,Rice,2002,27621,1083,Autumn     ,26.63
12783,300,Arhar/Tur,2002,27621,1083,Kharif     ,26.06
12784,10,Castor seed,2002,27621,1083,Kharif     ,25.58
12785,8,Cotton(lint),2002,27621,1083,Kharif     ,27.15
12786,8000,Jute,2002,27621,1083,Kharif     ,25.07
12787,46,Maize,2002,27621,1083,Kharif     ,27.35
12788,102,Mesta,2002,27621,1083,Kharif     ,27.35
12789,925,Niger seed,2002,27621,1083,Kharif     ,26.49
12790,905,Sesamum,2004,270436,1083,Kharif     ,26.11
12791,2575,Small millets,2004,270436,1083,Kharif     ,27.63
12792,229,Gram,2004,270436,1083,Rabi       ,26.25
12793,2645,Linseed,2004,270436,1083,Rabi       ,24.85
12794,12642,Other  Rabi pulses,2004,270436,1083,Rabi       ,25.25
12795,25850,Rapeseed &Mustard,2004,270436,1083,Rabi       ,26.22
12796,10104,Wheat,2004,270436,1083,Rabi       ,26.24
12797,18637,Rice,2004,270436,1083,Summer     ,26.63
12798,7170,Arecanut,2004,270436,1083,Whole Year ,27.23
12799,5130,Banana,2004,270436,1083,Whole Year ,25.98
12800,1125,Coconut ,2004,270436,1083,Whole Year ,26.64
12801,1632,Dry chillies,2004,270436,1083,Whole Year ,25.59
12802,800,Onion,2004,270436,1083,Whole Year ,24.85
12803,8920,Potato,2004,270436,1083,Whole Year ,26.41
12804,245,Sugarcane,2004,270436,1083,Whole Year ,26.24
12805,650,Sweet potato,2004,270436,1083,Whole Year ,25.69
12806,42,Tapioca,2004,270436,1083,Whole Year ,25.32
12807,45,Tobacco,2004,270436,1083,Whole Year ,27.16
12808,765,Turmeric,2004,270436,1083,Whole Year ,24.69
12809,104375,Rice,2004,270436,1083,Winter     ,27.29
12810,73675,Rice,2004,270436,1083,Autumn     ,27.29
12811,280,Arhar/Tur,2004,270436,1083,Kharif     ,25.95
12812,11,Castor seed,2004,19073,1083,Kharif     ,26.11
12813,8,Cotton(lint),2004,19073,1083,Kharif     ,27.63
12814,5800,Jute,2004,19073,1083,Kharif     ,26.25
12815,40,Maize,2004,19073,1083,Kharif     ,24.85
12816,103,Mesta,2004,19073,1083,Kharif     ,25.25
12817,1005,Niger seed,2004,19073,1083,Kharif     ,26.22
12818,860,Sesamum,2004,19073,1083,Kharif     ,26.24
12819,2590,Small millets,2004,19073,1083,Kharif     ,26.63
12820,211,Gram,2004,19073,1083,Rabi       ,27.23
12821,2605,Linseed,2004,19073,1083,Rabi       ,25.98
12822,12137,Other  Rabi pulses,2004,19073,1083,Rabi       ,26.64
12823,25865,Rapeseed &Mustard,2004,19073,1083,Rabi       ,25.59
12824,10170,Wheat,2004,19073,1083,Rabi       ,24.85
12825,25005,Rice,2004,19073,1083,Summer     ,26.41
12826,7160,Arecanut,2004,19073,1083,Whole Year ,26.24
12827,5131,Banana,2004,19073,1083,Whole Year ,25.69
12828,1125,Coconut ,2004,19073,1083,Whole Year ,25.32
12829,1670,Dry chillies,2004,19073,1083,Whole Year ,27.16
12830,805,Onion,2004,19073,1083,Whole Year ,24.69
12831,10675,Potato,2004,19073,1083,Whole Year ,27.29
12832,165,Sugarcane,2004,19073,1083,Whole Year ,27.29
12833,645,Sweet potato,2004,19073,1083,Whole Year ,25.95
12834,41,Tapioca,2004,188091,1083,Whole Year ,26.11
12835,25,Tobacco,2004,188091,1083,Whole Year ,27.63
12836,960,Turmeric,2004,188091,1083,Whole Year ,26.25
12837,97175,Rice,2004,188091,1083,Winter     ,24.85
12838,56482,Rice,2004,188091,1083,Autumn     ,25.25
12839,327,Arhar/Tur,2004,188091,1083,Kharif     ,26.22
12840,10,Castor seed,2004,188091,1083,Kharif     ,26.24
12841,9,Cotton(lint),2004,188091,1083,Kharif     ,26.63
12842,7936,Jute,2004,188091,1083,Kharif     ,27.23
12843,45,Maize,2004,188091,1083,Kharif     ,25.98
12844,108,Mesta,2004,188091,1083,Kharif     ,26.64
12845,964,Niger seed,2004,188091,1083,Kharif     ,25.59
12846,930,Sesamum,2004,188091,1083,Kharif     ,24.85
12847,1330,Small millets,2004,188091,1083,Kharif     ,26.41
12848,219,Gram,2004,188091,1083,Rabi       ,26.24
12849,2600,Linseed,2004,188091,1083,Rabi       ,25.69
12850,3015,Masoor,2004,188091,1083,Rabi       ,25.32
12851,1142,Moong(Green Gram),2004,188091,1083,Rabi       ,27.16
12852,12327,Other  Rabi pulses,2004,188091,1083,Rabi       ,24.69
12853,2135,Peas & beans (Pulses),2004,188091,1083,Rabi       ,27.29
12854,24045,Rapeseed &Mustard,2004,188091,1083,Rabi       ,27.29
12855,4355,Urad,2004,188091,1083,Rabi       ,25.95
12856,10169,Wheat,2004,29756,1083,Rabi       ,26.11
12857,18510,Rice,2004,29756,1083,Summer     ,27.63
12858,6582,Arecanut,2004,29756,1083,Whole Year ,26.25
12859,5134,Banana,2004,29756,1083,Whole Year ,24.85
12860,1130,Coconut ,2004,29756,1083,Whole Year ,25.25
12861,1680,Dry chillies,2004,29756,1083,Whole Year ,26.22
12862,810,Onion,2004,29756,1083,Whole Year ,26.24
12863,10805,Potato,2004,29756,1083,Whole Year ,26.63
12864,226,Sugarcane,2004,29756,1083,Whole Year ,27.23
12865,650,Sweet potato,2004,29756,1083,Whole Year ,25.98
12866,46,Tapioca,2004,29756,1083,Whole Year ,26.64
12867,42,Tobacco,2004,29756,1083,Whole Year ,25.59
12868,965,Turmeric,2004,29756,1083,Whole Year ,24.85
12869,97500,Rice,2004,29756,1083,Winter     ,26.41
12870,63725,Rice,2004,29756,1083,Autumn     ,26.24
12871,317,Arhar/Tur,2004,29756,1083,Kharif     ,25.69
12872,10,Castor seed,2004,29756,1083,Kharif     ,25.32
12873,7,Cotton(lint),2004,29756,1083,Kharif     ,27.16
12874,7960,Jute,2004,29756,1083,Kharif     ,24.69
12875,45,Maize,2004,29756,1083,Kharif     ,27.29
12876,247,Mesta,2004,29756,1083,Kharif     ,27.29
12877,1121,Niger seed,2004,29756,1083,Kharif     ,25.95
12878,880,Sesamum,2004,7161,1083,Kharif     ,26.11
12879,1330,Small millets,2004,7161,1083,Kharif     ,27.63
12880,220,Gram,2004,7161,1083,Rabi       ,26.25
12881,2655,Linseed,2004,7161,1083,Rabi       ,24.85
12882,3005,Masoor,2004,7161,1083,Rabi       ,25.25
12883,1067,Moong(Green Gram),2004,7161,1083,Rabi       ,26.22
12884,12087,Other  Rabi pulses,2004,7161,1083,Rabi       ,26.24
12885,2105,Peas & beans (Pulses),2004,7161,1083,Rabi       ,26.63
12886,24040,Rapeseed &Mustard,2004,7161,1083,Rabi       ,27.23
12887,4225,Urad,2004,7161,1083,Rabi       ,25.98
12888,9520,Wheat,2004,7161,1083,Rabi       ,26.64
12889,16000,Rice,2004,7161,1083,Summer     ,25.59
12890,6577,Arecanut,2004,7161,1083,Whole Year ,24.85
12891,3170,Banana,2004,7161,1083,Whole Year ,26.41
12892,957,Coconut ,2004,7161,1083,Whole Year ,26.24
12893,1705,Dry chillies,2004,7161,1083,Whole Year ,25.69
12894,820,Onion,2004,7161,1083,Whole Year ,25.32
12895,124,Orange,2004,7161,1083,Whole Year ,27.16
12896,310,Papaya,2004,7161,1083,Whole Year ,24.69
12897,310,Pineapple,2004,7161,1083,Whole Year ,27.29
12898,8750,Potato,2004,7161,1083,Whole Year ,27.29
12899,205,Sugarcane,2004,7161,1083,Whole Year ,25.95
12900,650,Sweet potato,2004,9082,1083,Whole Year ,26.11
12901,86,Tapioca,2004,9082,1083,Whole Year ,27.63
12902,28,Tobacco,2004,9082,1083,Whole Year ,26.25
12903,1027,Turmeric,2004,9082,1083,Whole Year ,24.85
12904,99500,Rice,2004,9082,1083,Winter     ,25.25
12905,58500,Rice,2004,9082,1083,Autumn     ,26.22
12906,277,Arhar/Tur,2004,9082,1083,Kharif     ,26.24
12907,11,Castor seed,2004,9082,1083,Kharif     ,26.63
12908,8,Cotton(lint),2004,9082,1083,Kharif     ,27.23
12909,7775,Jute,2004,9082,1083,Kharif     ,25.98
12910,45,Maize,2004,9082,1083,Kharif     ,26.64
12911,550,Mesta,2004,9082,1083,Kharif     ,25.59
12912,1121,Niger seed,2004,9082,1083,Kharif     ,24.85
12913,1028,Sesamum,2004,9082,1083,Kharif     ,26.41
12914,1330,Small millets,2004,9082,1083,Kharif     ,26.24
12915,222,Gram,2004,9082,1083,Rabi       ,25.69
12916,2832,Linseed,2004,9082,1083,Rabi       ,25.32
12917,3070,Masoor,2004,9082,1083,Rabi       ,27.16
12918,1070,Moong(Green Gram),2004,9082,1083,Rabi       ,24.69
12919,1785,other misc. pulses,2004,9082,1083,Rabi       ,27.29
12920,2135,Peas & beans (Pulses),2004,9082,1083,Rabi       ,27.29
12921,28740,Rapeseed &Mustard,2004,9082,1083,Rabi       ,25.95
12922,4380,Urad,2004,88588,1083,Rabi       ,26.11
12923,10125,Wheat,2004,88588,1083,Rabi       ,27.63
12924,17400,Rice,2004,88588,1083,Summer     ,26.25
12925,6610,Arecanut,2004,88588,1083,Whole Year ,24.85
12926,3205,Banana,2004,88588,1083,Whole Year ,25.25
12927,951,Coconut ,2004,88588,1083,Whole Year ,26.22
12928,1708,Dry chillies,2004,88588,1083,Whole Year ,26.24
12929,830,Onion,2004,88588,1083,Whole Year ,26.63
12930,124,Orange,2004,88588,1083,Whole Year ,27.23
12931,273,Papaya,2004,88588,1083,Whole Year ,25.98
12932,334,Pineapple,2004,88588,1083,Whole Year ,26.64
12933,9520,Potato,2004,88588,1083,Whole Year ,25.59
12934,208,Sugarcane,2004,88588,1083,Whole Year ,24.85
12935,670,Sweet potato,2004,88588,1083,Whole Year ,26.41
12936,56,Tapioca,2004,88588,1083,Whole Year ,26.24
12937,31,Tobacco,2004,88588,1083,Whole Year ,25.69
12938,1089,Turmeric,2004,88588,1083,Whole Year ,25.32
12939,99750,Rice,2004,88588,1083,Winter     ,27.16
12940,60760,Rice,2004,88588,1083,Autumn     ,24.69
12941,209,Arhar/Tur,2004,88588,1083,Kharif     ,27.29
12942,11,Castor seed,2004,88588,1083,Kharif     ,27.29
12943,6,Cotton(lint),2004,88588,1083,Kharif     ,25.95
12944,7580,Jute,2004,27132,1083,Kharif     ,26.11
12945,500,Mesta,2004,27132,1083,Kharif     ,27.63
12946,946,Niger seed,2004,27132,1083,Kharif     ,26.25
12947,1005,Sesamum,2004,27132,1083,Kharif     ,24.85
12948,1320,Small millets,2004,27132,1083,Kharif     ,25.25
12949,212,Gram,2004,27132,1083,Rabi       ,26.22
12950,2780,Linseed,2004,27132,1083,Rabi       ,26.24
12951,3015,Masoor,2004,27132,1083,Rabi       ,26.63
12952,820,Moong(Green Gram),2004,27132,1083,Rabi       ,27.23
12953,11490,Other  Rabi pulses,2004,27132,1083,Rabi       ,25.98
12954,2110,Peas & beans (Pulses),2004,27132,1083,Rabi       ,26.64
12955,20740,Rapeseed &Mustard,2004,27132,1083,Rabi       ,25.59
12956,4195,Urad,2004,27132,1083,Rabi       ,24.85
12957,10305,Wheat,2004,27132,1083,Rabi       ,26.41
12958,19645,Rice,2004,27132,1083,Summer     ,26.24
12959,982,Coconut ,2004,27132,1083,Whole Year ,25.69
12960,1760,Dry chillies,2004,27132,1083,Whole Year ,25.32
12961,805,Onion,2004,27132,1083,Whole Year ,27.16
12962,8640,Potato,2004,27132,1083,Whole Year ,24.69
12963,218,Sugarcane,2004,27132,1083,Whole Year ,27.29
12964,590,Sweet potato,2004,27132,1083,Whole Year ,27.29
12965,16,Tobacco,2004,27132,1083,Whole Year ,25.95
12966,1091,Turmeric,2005,304978,1083,Whole Year ,25.85
12967,62225,Rice,2005,304978,1083,Winter     ,26.83
12968,51500,Rice,2005,304978,1083,Autumn     ,26.28
12969,160,Arhar/Tur,2005,304978,1083,Kharif     ,24.12
12970,16,Castor seed,2005,304978,1083,Kharif     ,25.48
12971,5,Cotton(lint),2005,304978,1083,Kharif     ,25.82
12972,7006,Jute,2005,304978,1083,Kharif     ,25.72
12973,38,Maize,2005,304978,1083,Kharif     ,26.73
12974,479,Mesta,2005,304978,1083,Kharif     ,27.49
12975,555,Niger seed,2005,304978,1083,Kharif     ,25.4
12976,801,Sesamum,2005,304978,1083,Kharif     ,25.77
12977,809,Small millets,2005,304978,1083,Kharif     ,25.62
12978,153,Gram,2005,304978,1083,Rabi       ,24.12
12979,2034,Linseed,2005,304978,1083,Rabi       ,26.23
12980,2479,Masoor,2005,304978,1083,Rabi       ,25.72
12981,692,Moong(Green Gram),2005,304978,1083,Rabi       ,26.11
12982,9220,Other  Rabi pulses,2005,304978,1083,Rabi       ,25.09
12983,1891,Peas & beans (Pulses),2005,304978,1083,Rabi       ,26.51
12984,14768,Rapeseed &Mustard,2005,304978,1083,Rabi       ,25.07
12985,3171,Urad,2005,304978,1083,Rabi       ,26.72
12986,6051,Wheat,2005,304978,1083,Rabi       ,26.72
12987,13897,Rice,2005,304978,1083,Summer     ,26.3
12988,6610,Arecanut,2005,19385,1083,Whole Year ,25.85
12989,2417,Banana,2005,19385,1083,Whole Year ,26.83
12990,1301,Dry chillies,2005,19385,1083,Whole Year ,26.28
12991,586,Onion,2005,19385,1083,Whole Year ,24.12
12992,5192,Potato,2005,19385,1083,Whole Year ,25.48
12993,315,Sugarcane,2005,19385,1083,Whole Year ,25.82
12994,335,Sweet potato,2005,19385,1083,Whole Year ,25.72
12995,33,Tapioca,2005,19385,1083,Whole Year ,26.73
12996,21,Tobacco,2005,19385,1083,Whole Year ,27.49
12997,893,Turmeric,2005,19385,1083,Whole Year ,25.4
12998,52755,Rice,2005,19385,1083,Winter     ,25.77
12999,46504,Rice,2005,19385,1083,Autumn     ,25.62
13000,181,Arhar/Tur,2005,19385,1083,Kharif     ,24.12
13001,15,Castor seed,2005,19385,1083,Kharif     ,26.23
13002,7,Cotton(lint),2005,19385,1083,Kharif     ,25.72
13003,6294,Jute,2005,19385,1083,Kharif     ,26.11
13004,42,Maize,2005,19385,1083,Kharif     ,25.09
13005,416,Mesta,2005,19385,1083,Kharif     ,26.51
13006,837,Niger seed,2005,19385,1083,Kharif     ,25.07
13007,797,Sesamum,2005,19385,1083,Kharif     ,26.72
13008,863,Small millets,2005,19385,1083,Kharif     ,26.72
13009,165,Gram,2005,19385,1083,Rabi       ,26.3
13010,2033,Linseed,2005,188908,1083,Rabi       ,25.85
13011,2613,Masoor,2005,188908,1083,Rabi       ,26.83
13012,841,Moong(Green Gram),2005,188908,1083,Rabi       ,26.28
13013,1312,Other  Rabi pulses,2005,188908,1083,Rabi       ,24.12
13014,1965,Peas & beans (Pulses),2005,188908,1083,Rabi       ,25.48
13015,18508,Rapeseed &Mustard,2005,188908,1083,Rabi       ,25.82
13016,3569,Urad,2005,188908,1083,Rabi       ,25.72
13017,8788,Wheat,2005,188908,1083,Rabi       ,26.73
13018,15213,Rice,2005,188908,1083,Summer     ,27.49
13019,3740,Arecanut,2005,188908,1083,Whole Year ,25.4
13020,2451,Banana,2005,188908,1083,Whole Year ,25.77
13021,609,Coconut ,2005,188908,1083,Whole Year ,25.62
13022,1445,Dry chillies,2005,188908,1083,Whole Year ,24.12
13023,395,Onion,2005,188908,1083,Whole Year ,26.23
13024,7256,Potato,2005,188908,1083,Whole Year ,25.72
13025,324,Sugarcane,2005,188908,1083,Whole Year ,26.11
13026,626,Sweet potato,2005,188908,1083,Whole Year ,25.09
13027,28,Tapioca,2005,188908,1083,Whole Year ,26.51
13028,19,Tobacco,2005,188908,1083,Whole Year ,25.07
13029,815,Turmeric,2005,188908,1083,Whole Year ,26.72
13030,50173,Rice,2005,188908,1083,Winter     ,26.72
13031,33564,Rice,2005,188908,1083,Autumn     ,26.3
13032,169,Arhar/Tur,2005,31537,1083,Kharif     ,25.85
13033,17,Castor seed,2005,31537,1083,Kharif     ,26.83
13034,6,Cotton(lint),2005,31537,1083,Kharif     ,26.28
13035,3774,Jute,2005,31537,1083,Kharif     ,24.12
13036,46,Maize,2005,31537,1083,Kharif     ,25.48
13037,566,Mesta,2005,31537,1083,Kharif     ,25.82
13038,825,Niger seed,2005,31537,1083,Kharif     ,25.72
13039,805,Sesamum,2005,31537,1083,Kharif     ,26.73
13040,892,Small millets,2005,31537,1083,Kharif     ,27.49
13041,165,Gram,2005,31537,1083,Rabi       ,25.4
13042,2034,Linseed,2005,31537,1083,Rabi       ,25.77
13043,2798,Masoor,2005,31537,1083,Rabi       ,25.62
13044,855,Moong(Green Gram),2005,31537,1083,Rabi       ,24.12
13045,1331,Other  Rabi pulses,2005,31537,1083,Rabi       ,26.23
13046,1965,Peas & beans (Pulses),2005,31537,1083,Rabi       ,25.72
13047,18766,Rapeseed &Mustard,2005,31537,1083,Rabi       ,26.11
13048,3672,Urad,2005,31537,1083,Rabi       ,25.09
13049,7356,Wheat,2005,31537,1083,Rabi       ,26.51
13050,16829,Rice,2005,31537,1083,Summer     ,25.07
13051,3756,Arecanut,2005,31537,1083,Whole Year ,26.72
13052,2300,Banana,2005,31537,1083,Whole Year ,26.72
13053,52,Black pepper,2005,31537,1083,Whole Year ,26.3
13054,1554,Coconut ,2005,7968,1083,Whole Year ,25.85
13055,1497,Dry chillies,2005,7968,1083,Whole Year ,26.83
13056,668,Dry ginger,2005,7968,1083,Whole Year ,26.28
13057,399,Onion,2005,7968,1083,Whole Year ,24.12
13058,6715,Potato,2005,7968,1083,Whole Year ,25.48
13059,337,Sugarcane,2005,7968,1083,Whole Year ,25.82
13060,630,Sweet potato,2005,7968,1083,Whole Year ,25.72
13061,21,Tapioca,2005,7968,1083,Whole Year ,26.73
13062,19,Tobacco,2005,7968,1083,Whole Year ,27.49
13063,837,Turmeric,2005,7968,1083,Whole Year ,25.4
13064,53821,Rice,2005,7968,1083,Winter     ,25.77
13065,48880,Rice,2005,7968,1083,Autumn     ,25.62
13066,358,Arhar/Tur,2005,7968,1083,Kharif     ,24.12
13067,44,Castor seed,2005,7968,1083,Kharif     ,26.23
13068,6,Cotton(lint),2005,7968,1083,Kharif     ,25.72
13069,5667,Jute,2005,7968,1083,Kharif     ,26.11
13070,64,Maize,2005,7968,1083,Kharif     ,25.09
13071,418,Mesta,2005,7968,1083,Kharif     ,26.51
13072,769,Niger seed,2005,7968,1083,Kharif     ,25.07
13073,939,Sesamum,2005,7968,1083,Kharif     ,26.72
13074,674,Small millets,2005,7968,1083,Kharif     ,26.72
13075,4391,Blackgram,2005,7968,1083,Rabi       ,26.3
13076,123,Gram,2005,10734,1083,Rabi       ,25.85
13077,1921,Linseed,2005,10734,1083,Rabi       ,26.83
13078,3981,Masoor,2005,10734,1083,Rabi       ,26.28
13079,418,Moong(Green Gram),2005,10734,1083,Rabi       ,24.12
13080,1382,Peas & beans (Pulses),2005,10734,1083,Rabi       ,25.48
13081,12607,Rapeseed &Mustard,2005,10734,1083,Rabi       ,25.82
13082,4391,Urad,2005,10734,1083,Rabi       ,25.72
13083,6249,Wheat,2005,10734,1083,Rabi       ,26.73
13084,42937,Rice,2005,10734,1083,Summer     ,27.49
13085,3015,Arecanut,2005,10734,1083,Whole Year ,25.4
13086,2210,Banana,2005,10734,1083,Whole Year ,25.77
13087,30,Black pepper,2005,10734,1083,Whole Year ,25.62
13088,1154,Coconut ,2005,10734,1083,Whole Year ,24.12
13089,2428,Dry chillies,2005,10734,1083,Whole Year ,26.23
13090,443,Dry ginger,2005,10734,1083,Whole Year ,25.72
13091,693,Onion,2005,10734,1083,Whole Year ,26.11
13092,6689,Potato,2005,10734,1083,Whole Year ,25.09
13093,280,Sugarcane,2005,10734,1083,Whole Year ,26.51
13094,436,Sweet potato,2005,10734,1083,Whole Year ,25.07
13095,81,Tapioca,2005,10734,1083,Whole Year ,26.72
13096,32,Tobacco,2005,10734,1083,Whole Year ,26.72
13097,1453,Turmeric,2005,10734,1083,Whole Year ,26.3
13098,72524,Rice,2005,88477,1083,Winter     ,25.85
13099,50063,Rice,2005,88477,1083,Autumn     ,26.83
13100,398,Arhar/Tur,2005,88477,1083,Kharif     ,26.28
13101,54,Castor seed,2005,88477,1083,Kharif     ,24.12
13102,68,Cotton(lint),2005,88477,1083,Kharif     ,25.48
13103,7182,Jute,2005,88477,1083,Kharif     ,25.82
13104,331,Maize,2005,88477,1083,Kharif     ,25.72
13105,402,Mesta,2005,88477,1083,Kharif     ,26.73
13106,1409,Niger seed,2005,88477,1083,Kharif     ,27.49
13107,781,Sesamum,2005,88477,1083,Kharif     ,25.4
13108,681,Small millets,2005,88477,1083,Kharif     ,25.77
13109,2329,Banana,2005,88477,1083,Rabi       ,25.62
13110,107,Gram,2005,88477,1083,Rabi       ,24.12
13111,1924,Linseed,2005,88477,1083,Rabi       ,26.23
13112,4308,Masoor,2005,88477,1083,Rabi       ,25.72
13113,740,Moong(Green Gram),2005,88477,1083,Rabi       ,26.11
13114,1404,Peas & beans (Pulses),2005,88477,1083,Rabi       ,25.09
13115,14241,Rapeseed &Mustard,2005,88477,1083,Rabi       ,26.51
13116,4739,Urad,2005,88477,1083,Rabi       ,25.07
13117,7400,Wheat,2005,88477,1083,Rabi       ,26.72
13118,48309,Rice,2005,88477,1083,Summer     ,26.72
13119,3373,Arecanut,2005,88477,1083,Whole Year ,26.3
13120,2329,Banana,2005,26016,1083,Whole Year ,25.85
13121,39,Black pepper,2005,26016,1083,Whole Year ,26.83
13122,1924,Coconut ,2005,26016,1083,Whole Year ,26.28
13123,2776,Dry chillies,2005,26016,1083,Whole Year ,24.12
13124,518,Dry ginger,2005,26016,1083,Whole Year ,25.48
13125,1145,Onion,2005,26016,1083,Whole Year ,25.82
13126,6127,Potato,2005,26016,1083,Whole Year ,25.72
13127,325,Sugarcane,2005,26016,1083,Whole Year ,26.73
13128,656,Sweet potato,2005,26016,1083,Whole Year ,27.49
13129,13,Tapioca,2005,26016,1083,Whole Year ,25.4
13130,95,Tobacco,2005,26016,1083,Whole Year ,25.77
13131,1026,Turmeric,2005,26016,1083,Whole Year ,25.62
13132,73690,Rice,2005,26016,1083,Winter     ,24.12
13133,39756,Rice,2005,26016,1083,Autumn     ,26.23
13134,434,Arhar/Tur,2005,26016,1083,Kharif     ,25.72
13135,34,Castor seed,2005,26016,1083,Kharif     ,26.11
13136,9,Cotton(lint),2005,26016,1083,Kharif     ,25.09
13137,6469,Jute,2005,26016,1083,Kharif     ,26.51
13138,76,Maize,2005,26016,1083,Kharif     ,25.07
13139,231,Mesta,2005,26016,1083,Kharif     ,26.72
13140,1757,Niger seed,2005,26016,1083,Kharif     ,26.72
13141,831,Sesamum,2005,26016,1083,Kharif     ,26.3
13142,667,Small millets,2006,321132,1083,Kharif     ,26.34
13143,3373,Arecanut,2006,321132,1083,Rabi       ,27.28
13144,1979,Banana,2006,321132,1083,Rabi       ,26.39
13145,90,Gram,2006,321132,1083,Rabi       ,24.72
13146,1872,Linseed,2006,321132,1083,Rabi       ,25.42
13147,4646,Masoor,2006,321132,1083,Rabi       ,26.04
13148,393,Moong(Green Gram),2006,321132,1083,Rabi       ,26.37
13149,1585,Peas & beans (Pulses),2006,321132,1083,Rabi       ,26.99
13150,16740,Rapeseed &Mustard,2006,321132,1083,Rabi       ,27.47
13151,5262,Urad,2006,321132,1083,Rabi       ,25.78
13152,6654,Wheat,2006,321132,1083,Rabi       ,26.43
13153,51581,Rice,2006,321132,1083,Summer     ,25.85
13154,1979,Banana,2006,321132,1083,Whole Year ,24.72
13155,58,Black pepper,2006,321132,1083,Whole Year ,26.37
13156,1924,Coconut ,2006,321132,1083,Whole Year ,26.37
13157,3021,Dry chillies,2006,321132,1083,Whole Year ,26.13
13158,734,Dry ginger,2006,321132,1083,Whole Year ,25.31
